county,countyConfirmed,countyDeaths,state
Placer County,30,1,CA
Volusia County,29,0,FL
Boone County,29,1,MO
St. James Parish,29,1,LA
Olmsted County,29,0,MN
Coconino County,28,1,AZ
Lafourche Parish,28,1,LA
Lackawanna County,28,2,PA
Fayette County,28,1,KY
Brazos County,28,0,TX
Anchorage County,28,0,AK
St. Bernard Parish,28,1,LA
El Paso County,28,0,TX
McLennan County,28,0,TX
Loudoun County,28,0,VA
York County,27,0,ME
Wyandotte County,27,2,KS
Galveston County,27,0,TX
Sussex County,27,0,DE
Kitsap County,27,0,WA
Tolland County,27,3,CT
Union County,27,0,NC
Grant County,27,1,WA
Manatee County,26,1,FL
Hamilton County,26,1,TN
Santa Barbara County,26,0,CA
Beaufort County,26,0,SC
Hunterdon County,25,0,NJ
Lake County,25,0,FL
Santa Cruz County,25,0,CA
Rapides Parish,25,1,LA
Dakota County,25,0,MN
Linn County,25,1,OR
Henry County,25,0,GA
Polk County,24,0,IA
Monterey County,24,1,CA
Unassigned,24.0,0.0,HI
Faulkner County,24,0,AR
Unassigned,24.0,1.0,AR
Sumter County,24,0,FL
Kern County,24,0,CA
Guilford County,24,0,NC
Westmoreland County,24,0,PA
Gallatin County,24,0,MT
Bristol County,24,0,RI
Clarke County,24,1,GA
Greene County,23,3,MO
Tompkins County,23,0,NY
Rankin County,23,0,MS
Virginia Beach County,23,1,VA
Gloucester County,23,0,NJ
Lucas County,23,2,OH
Jefferson County,23,0,AR
Medina County,22,0,OH
St. Charles Parish,22,2,LA
Ingham County,22,0,MI
Williamson County,22,0,TX
Burleigh County,22,0,ND
Grafton County,22,0,NH
Monroe County,21,0,MI
Madison County,21,0,MS
Lancaster County,21,0,PA
St. Joseph County,21,0,IN
Clackamas County,21,2,OR
York County,21,0,PA
Hall County,21,0,GA
Washington County,21,0,WI
Henrico County,21,2,VA
Livingston County,21,1,MI
Terrebonne Parish,21,0,LA
Hendricks County,21,0,IN
Pitkin County,21,0,CO
Okaloosa County,21,0,FL
Horry County,20,1,SC
Ozaukee County,20,1,WI
Knox County,20,0,TN
Unassigned,20.0,0.0,MI
Rutherford County,19,0,TN
Pasco County,19,1,FL
Fresno County,19,0,CA
Butler County,19,1,PA
Unassigned,19.0,0.0,UT
Lubbock County,19,0,TX
Miami County,19,1,OH
Escambia County,19,0,FL
Bell County,19,0,TX
Columbia County,19,0,NY
Anderson County,19,0,SC
Ouachita Parish,19,1,LA
Clay County,19,4,FL
McHenry County,19,0,IL
Utah County,18,0,UT
Fond du Lac County,18,1,WI
Lexington County,18,1,SC
Tulare County,18,0,CA
York County,18,0,SC
Unassigned,18.0,0.0,CO
Benton County,18,0,AR
Butler County,18,0,OH
Warren County,18,0,NJ
Monongalia County,18,0,WV
Garland County,18,0,AR
Ottawa County,18,0,MI
Douglas County,18,0,GA
Cabarrus County,18,2,NC
St. Charles County,18,1,MO
Kent County,17,0,DE
Coahoma County,17,0,MS
Walker County,17,0,AL
Tuscaloosa County,17,0,AL
Windsor County,17,1,VT
Forsyth County,17,0,NC
Santa Fe County,17,0,NM
Unassigned,17,0,VI
Polk County,17,0,FL
Jackson County,17,0,MI
Iberville Parish,17,1,LA
Jackson County,16,0,MS
Clark County,16,4,WA
Forrest County,16,0,MS
Smith County,16,1,TX
Pearl River County,16,0,MS
Floyd County,16,1,GA
Minnehaha County,16,0,SD
Broome County,16,2,NY
Montgomery County,16,0,AL
Clark County,15,0,AR
Washington County,15,0,MN
Pike County,15,0,PA
Lee County,15,0,MS
Cumberland County,15,0,PA
Wasatch County,15,0,UT
Middlesex County,15,0,CT
Robertson County,15,0,TN
Calcasieu Parish,15,1,LA
Forsyth County,15,0,GA
New Hanover County,14,0,NC
Kenosha County,14,0,WI
Thurston County,14,0,WA
Frederick County,14,0,MD
Lake County,14,0,OH
Nueces County,14,0,TX
Tippah County,14,0,MS
Alexandria County,14,0,VA
Fayette County,14,1,GA
Unassigned,14.0,1.0,LA
Montgomery County,14,0,OH
Franklin County,14,0,MA
Beadle County,14,0,SD
