county,countyConfirmed,countyDeaths,state
Gibson County,2,0,TN
Aiken County,2,0,SC
Crawford County,2,0,KS
Jasper County,2,0,MO
Hanover County,2,0,VA
Cherokee County,2,0,KS
Erie County,2,1,OH
Socorro County,2,0,NM
Unassigned,2.0,0.0,IL
Van Buren County,2,0,MI
Umatilla County,2,0,OR
La Paz County,2,0,AZ
Graham County,2,0,AZ
Bourbon County,2,1,KY
Cochise County,2,0,AZ
Tuscola County,2,0,MI
Amador County,2,0,CA
San Juan County,2,0,WA
Pierce County,2,0,ND
Elko County,2,0,NV
Carson City County,2,0,NV
Worcester County,2,0,MD
Mason County,2,0,WA
Harrison County,2,0,IN
Mohave County,2,0,AZ
Breathitt County,2,0,KY
Calaveras County,2,0,CA
Santa Cruz County,2,0,AZ
Madison County,2,0,GA
Evangeline Parish,2,0,LA
Miller County,2,0,GA
Christian County,2,0,KY
Josephine County,2,0,OR
Clark County,2,0,KY
Monroe County,2,0,IL
Franklin County,2,0,MS
Grenada County,2,0,MS
Juneau County,2,0,AK
Franklin County,2,0,KY
Newaygo County,2,0,MI
Vance County,2,0,NC
Adair County,2,0,OK
Anderson County,2,1,KY
Queen Anne's County,2,0,MD
Shelby County,2,0,IN
Noble County,2,0,OK
Vernon Parish,2,0,LA
McClain County,2,0,OK
McCook County,2,0,SD
Tom Green County,2,0,TX
Lincoln County,2,0,SD
Davison County,2,0,SD
Baldwin County,2,0,GA
Brown County,2,0,SD
Pottawatomie County,2,0,OK
Tipton County,2,0,IN
Douglas County,2,0,WA
Garvin County,2,0,OK
Cayuga County,2,0,NY
Tucker County,2,0,WV
Jackson County,2,0,IN
Putnam County,2,1,IN
Putnam County,2,0,WV
Preston County,2,0,WV
Ohio County,2,0,WV
Chautauqua County,2,0,NY
Mercer County,2,0,WV
Marshall County,2,0,WV
Irwin County,2,0,GA
Montgomery County,2,0,IN
Jasper County,2,0,GA
Lawrence County,2,0,IN
LaPorte County,2,0,IN
Lewis County,2,0,WA
Berkeley County,2,0,WV
Hardin County,2,0,KY
Sutter County,2,0,CA
Hoke County,2,0,NC
Grand County,2,0,CO
McDowell County,2,0,NC
Searcy County,2,0,AR
Quitman County,2,0,MS
Lenoir County,2,0,NC
Saunders County,2,0,NE
Turner County,2,0,GA
Kauai County,2,0,HI
Tallahatchie County,2,0,MS
Madison County,2,0,KY
Washington County,2,0,GA
Twiggs County,2,0,GA
Somerset County,2,0,PA
Stevens County,2,0,WA
Buffalo County,2,0,NE
Union County,2,0,MS
Hertford County,2,0,NC
Webster County,2,1,MS
Cass County,2,0,NE
Union Parish,2,0,LA
McCracken County,2,0,KY
Knox County,2,0,NE
Camden County,2,0,GA
Walla Walla County,2,0,WA
Whitman County,2,0,WA
Sebastian County,2,0,AR
Broadwater County,2,0,MT
Tattnall County,2,0,GA
Hawaii County,2,0,HI
Decatur County,2,0,GA
Claiborne Parish,2,1,LA
Transylvania County,2,0,NC
Henderson County,2,0,KY
Allegany County,2,0,NY
Cleveland County,2,0,NC
Robeson County,2,0,NC
San Patricio County,2,0,TX
Gloucester County,2,0,VA
Muhlenberg County,2,0,KY
Seminole County,2,0,GA
Madison County,2,0,MT
Frederick County,2,0,VA
Accomack County,2,0,VA
Danville County,2,0,VA
Culpeper County,2,0,VA
Montgomery County,2,0,KY
Moore County,2,0,NC
Rusk County,2,0,TX
Martin County,1,0,KY
Medina County,1,0,TX
Jefferson Davis Parish,1,0,LA
Jackson Parish,1,0,LA
Robertson County,1,0,TX
Oldham County,1,0,KY
Taylor County,1,0,TX
Ottawa County,1,0,OK
Page County,1,0,IA
Pontotoc County,1,0,OK
Simpson County,1,0,KY
Spencer County,1,0,KY
Menifee County,1,0,KY
Stephens County,1,0,OK
Scott County,1,0,KY
Clayton County,1,0,IA
Swisher County,1,0,TX
Logan County,1,0,KY
Shelby County,1,0,TX
Orange County,1,0,TX
Winn Parish,1,0,LA
Carroll County,1,0,IA
Nelson County,1,0,KY
Buchanan County,1,0,IA
Campbell County,1,0,KY
Jessamine County,1,0,KY
Des Moines County,1,0,IA
Oldham County,1,1,TX
Laurel County,1,0,KY
Calloway County,1,0,KY
Fayette County,1,0,IA
Appanoose County,1,0,IA
Monona County,1,0,IA
Nacogdoches County,1,0,TX
Morris County,1,0,TX
Henry County,1,0,IA
Boone County,1,0,KY
Lyon County,1,0,KY
Adair County,1,0,IA
Webster County,1,0,KY
Reeves County,1,0,TX
Allen County,1,0,KY
Kossuth County,1,0,IA
Crawford County,1,0,PA
Mahaska County,1,0,IA
Starr County,1,0,TX
Maverick County,1,0,TX
Calumet County,1,0,WI
Unassigned,1.0,0.0,IA
Park County,1,0,WY
Johnson County,1,0,WY
Campbell County,1,0,WY
Albany County,1,0,WY
Morgan County,1,0,GA
Pierce County,1,0,GA
Stephenson County,1,0,IL
Pulaski County,1,0,GA
Armstrong County,1,0,PA
Randolph County,1,0,GA
Greene County,1,0,GA
Roosevelt County,1,0,MT
Ravalli County,1,0,MT
Lincoln County,1,0,MT
Stephens County,1,0,GA
Jefferson County,1,0,MT
Hill County,1,0,MT
Glacier County,1,0,MT
Taylor County,1,0,GA
Thomas County,1,0,GA
Toombs County,1,0,GA
Nemaha County,1,0,NE
Madison County,1,0,NE
Gage County,1,0,NE
Ware County,1,0,GA
Adams County,1,0,NE
White County,1,0,GA
Franklin County,1,0,NY
Washington County,1,0,IL
Meriwether County,1,0,GA
Wapello County,1,0,IA
Sweetwater County,1,0,WY
Heard County,1,0,GA
Pennington County,1,1,SD
Meade County,1,0,SD
Lyman County,1,0,SD
Hughes County,1,0,SD
Codington County,1,0,SD
Charles Mix County,1,0,SD
Brookings County,1,0,SD
Bon Homme County,1,0,SD
Whiteside County,1,0,IL
Wood County,1,0,WV
Raleigh County,1,0,WV
Marion County,1,0,WV
Logan County,1,0,WV
Jackson County,1,0,GA
Jones County,1,0,GA
Hancock County,1,0,WV
Walsh County,1,0,ND
Unassigned,1.0,0.0,ND
Vermilion Parish,1,0,LA
Liberty County,1,0,GA
Lincoln County,1,0,GA
McHenry County,1,0,ND
Foster County,1,0,ND
Dunn County,1,0,ND
Long County,1,0,GA
Macon County,1,0,GA
Blair County,1,0,PA
Wilkes County,1,0,GA
Fulton County,1,0,NY
Angelina County,1,0,TX
Bourbon County,1,0,KS
Valley County,1,0,ID
Twin Falls County,1,0,ID
Payette County,1,0,ID
Nez Perce County,1,0,ID
Idaho County,1,0,ID
Fremont County,1,0,ID
Custer County,1,0,ID
Cassia County,1,0,ID
Hale County,1,0,TX
Unassigned,1.0,0.0,ME
Madison Parish,1,0,LA
Fannin County,1,0,GA
Hood County,1,0,TX
Knox County,1,0,ME
Hopkins County,1,0,TX
Franklin County,1,0,ME
Hunt County,1,0,TX
Karnes County,1,0,TX
Lamar County,1,0,TX
Lavaca County,1,0,TX
Liberty County,1,0,TX
Limestone County,1,0,TX
Caledonia County,1,0,VT
Winneshiek County,1,0,IA
Martin County,1,0,TX
Warren County,1,0,IA
Gaines County,1,0,TX
Doniphan County,1,0,KS
Franklin County,1,0,KS
Crane County,1,0,TX
San Miguel County,1,0,NM
Austin County,1,0,TX
Lea County,1,0,NM
Eddy County,1,1,NM
Curry County,1,0,NM
Cibola County,1,0,NM
Blanco County,1,0,TX
Bowie County,1,0,TX
Burnet County,1,0,TX
Cass County,1,0,TX
Coryell County,1,0,TX
Sullivan County,1,0,NH
Richland Parish,1,0,LA
Jackson County,1,0,KS
Cheshire County,1,0,NH
Pointe Coupee Parish,1,0,LA
Erath County,1,0,TX
Woodson County,1,0,KS
Falls County,1,0,TX
Cambria County,1,0,PA
Riley County,1,0,KS
Pottawatomie County,1,0,KS
Neosho County,1,0,KS
Fannin County,1,0,TX
Fayette County,1,0,TX
Jefferson County,1,0,KS
Adams County,1,0,IL
Indiana County,1,0,PA
Val Verde County,1,0,TX
Franklin County,1,0,VA
Harris County,1,0,GA
Botetourt County,1,0,VA
Charles City County,1,0,VA
Dare County,1,0,NC
Livingston County,1,0,IL
Fluvanna County,1,0,VA
Fredericksburg County,1,0,VA
Douglas County,1,0,IL
Halifax County,1,0,VA
Hampton County,1,0,VA
Mecosta County,1,0,MI
Marquette County,1,0,MI
Manistee County,1,0,MI
Madison County,1,0,VA
Missaukee County,1,0,MI
Amherst County,1,0,VA
Davie County,1,0,NC
Duplin County,1,0,NC
Granville County,1,0,NC
Hyde County,1,0,NC
Burke County,1,0,GA
Jackson County,1,0,NC
Smith County,1,0,MS
Simpson County,1,0,MS
Lee County,1,0,NC
Prentiss County,1,0,MS
Lincoln County,1,0,NC
Perry County,1,0,MS
Mitchell County,1,0,NC
Montgomery County,1,0,NC
Noxubee County,1,0,MS
Mathews County,1,0,VA
Nelson County,1,0,VA
Northampton County,1,0,NC
Chattooga County,1,0,GA
Clay County,1,0,AL
Cleburne County,1,0,AL
Coffee County,1,0,AL
Colbert County,1,0,AL
Coosa County,1,0,AL
DeKalb County,1,0,AL
Lamar County,1,0,AL
Nottoway County,1,0,VA
Lawrence County,1,0,AL
Lowndes County,1,0,AL
Lycoming County,1,0,PA
Marengo County,1,0,AL
Lawrence County,1,0,OH
DeKalb County,1,0,IL
Mercer County,1,0,OH
Cherokee County,1,0,AL
Bradford County,1,0,FL
Butler County,1,0,AL
Charlton County,1,0,GA
Pickaway County,1,0,OH
Sandusky County,1,0,OH
Seneca County,1,0,OH
Warren County,1,0,VA
Catoosa County,1,0,GA
Leelanau County,1,0,MI
Suffolk County,1,0,VA
Washington County,1,0,OH
Roanoke County,1,0,VA
Wayne County,1,0,OH
Radford County,1,0,VA
Orange County,1,0,VA
Newton County,1,0,MS
Marion County,1,0,MS
Van Zandt County,1,0,TX
Waupaca County,1,0,WI
Scott County,1,1,IN
Rush County,1,0,IN
Vilas County,1,0,WI
Posey County,1,0,IN
Orange County,1,0,IN
Columbia County,1,0,WA
Ohio County,1,0,IN
Kent County,1,0,MD
Wood County,1,0,WI
Jackson County,1,0,IL
Noble County,1,0,IN
Caroline County,1,0,MD
Miami County,1,0,IN
Marshall County,1,0,IN
Starke County,1,0,IN
Portage County,1,0,WI
Sullivan County,1,0,IN
Monroe County,1,0,WI
Ferry County,1,0,WA
Marathon County,1,0,WI
Baker County,1,0,GA
Juneau County,1,0,WI
Warren County,1,0,IN
Green County,1,0,WI
Grant County,1,0,WI
Dunn County,1,0,WI
Wayne County,1,0,IN
Wells County,1,0,IN
Grays Harbor County,1,0,WA
Bayfield County,1,0,WI
Clark County,1,0,WI
Jo Daviess County,1,0,IL
Adams County,1,0,WA
Pasquotank County,1,0,NC
Oceana County,1,0,MI
Adams County,1,0,IN
Clay County,1,0,MS
Ogemaw County,1,0,MI
Susquehanna County,1,0,PA
George County,1,0,MS
Okanogan County,1,0,WA
Humphreys County,1,0,MS
Somerset County,1,0,MD
Jones County,1,0,MS
Unassigned,1.0,0.0,NC
Surry County,1,0,NC
Scotland County,1,0,NC
Potter County,1,0,PA
Person County,1,0,NC
Brown County,1,0,IN
DeKalb County,1,0,IN
Benton County,1,0,MS
Ben Hill County,1,0,GA
Amite County,1,0,MS
Dubois County,1,0,IN
Fountain County,1,0,IN
Roscommon County,1,0,MI
Grundy County,1,0,IL
Sanilac County,1,0,MI
Shiawassee County,1,0,MI
Warren County,1,0,PA
Nye County,1,0,NV
Lyon County,1,0,NV
Wexford County,1,0,MI
Talbot County,1,0,MD
Lincoln County,1,0,WA
Logan County,1,0,IL
Jefferson County,1,0,OH
Pickens County,1,0,AL
Drew County,1,0,AR
Otero County,1,0,CO
Columbia County,1,0,AR
Conway County,1,0,AR
Crawford County,1,0,AR
La Plata County,1,0,CO
Cross County,1,0,AR
Greene County,1,0,AR
Pike County,1,0,AR
Hempstead County,1,0,AR
Hot Spring County,1,0,AR
Huerfano County,1,0,CO
Hinsdale County,1,0,CO
Lawrence County,1,0,AR
Bienville Parish,1,1,LA
Park County,1,0,CO
Boone County,1,0,AR
San Miguel County,1,0,CO
Yuma County,1,0,CO
Wilkin County,1,0,MN
Chippewa County,1,0,WI
Bedford County,1,0,TN
Sibley County,1,0,MN
Sherburne County,1,0,MN
Renville County,1,0,MN
Chester County,1,0,TN
Claiborne County,1,0,TN
Cocke County,1,0,TN
Juniata County,1,0,PA
DeKalb County,1,0,TN
Lac qui Parle County,1,0,MN
Kandiyohi County,1,0,MN
Lonoke County,1,0,AR
Polk County,1,0,AR
Pike County,1,0,AL
Craig County,1,0,OK
Young County,1,0,TX
Union County,1,0,OR
Wilson County,1,0,TX
Bryan County,1,0,OK
Carter County,1,0,OK
Salem County,1,0,NJ
Dodge County,1,0,GA
Pope County,1,0,AR
Delaware County,1,0,OK
Grady County,1,0,OK
Jackson County,1,0,OK
Walker County,1,0,TX
Lincoln County,1,0,OK
Mayes County,1,0,OK
Grant Parish,1,0,LA
Lincoln County,1,0,OR
Klamath County,1,0,OR
Hood River County,1,0,OR
Grant County,1,0,OR
Crowley County,1,1,CO
Delta County,1,0,CO
Clatsop County,1,0,OR
Woodruff County,1,0,AR
White County,1,0,AR
Catahoula Parish,1,1,LA
Union County,1,0,AR
Fremont County,1,0,CO
Stone County,1,0,AR
Sevier County,1,0,AR
Randolph County,1,0,AR
Inyo County,1,0,CA
Jackson County,1,0,MN
Goodhue County,1,0,MN
Franklin County,1,0,TN
Saluda County,1,0,SC
Clare County,1,0,MI
Marion County,1,0,SC
Marlboro County,1,0,SC
Newberry County,1,0,SC
Ashland County,1,0,OH
Chippewa County,1,0,MI
Clinch County,1,0,GA
White County,1,0,TN
Union County,1,0,SC
Williamsburg County,1,0,SC
Jackson County,1,0,FL
Adair County,1,0,MO
Bates County,1,0,MO
Cass County,1,0,MI
Champaign County,1,0,OH
Edgefield County,1,0,SC
Crawford County,1,0,OH
Dillon County,1,0,SC
Gadsden County,1,0,FL
Colleton County,1,0,SC
Darke County,1,0,OH
Chester County,1,0,SC
Calhoun County,1,0,SC
Cumberland County,1,0,IL
Fayette County,1,0,OH
Gallia County,1,1,OH
Washington County,1,0,AL
Iosco County,1,0,MI
Hancock County,1,0,OH
Highland County,1,0,OH
Russell County,1,0,AL
Camden County,1,0,MO
Christian County,1,0,IL
Cass County,1,0,MN
Christian County,1,0,MO
Grundy County,1,0,TN
Big Stone County,1,0,MN
Benton County,1,0,MN
Hardin County,1,0,TN
Hawkins County,1,0,TN
Lewis County,1,0,TN
Marshall County,1,0,IL
Lincoln County,1,0,TN
Lawrence County,1,0,PA
Iron County,1,0,UT
Allegan County,1,0,MI
Marion County,1,0,TN
Taney County,1,0,MO
Barry County,1,0,MI
Shelby County,1,0,MO
Scott County,1,0,MO
Randolph County,1,0,MO
Clinton County,1,0,MO
Cooper County,1,0,MO
Dunklin County,1,0,MO
Henry County,1,0,MO
Scott County,1,0,TN
Roane County,1,0,TN
McDonald County,1,0,MO
Montgomery County,1,0,MO
Perry County,1,0,TN
Pemiscot County,1,0,MO
Overton County,1,0,TN
Ralls County,1,0,MO
Sampson County,1,0,NC
Unassigned,0.0,2.0,AZ
Unassigned,0.0,49.0,NY
